date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:16	68019/68019	---MC-	200	added ('OK')	text/html	date:Wed,%2017%20May%202023%2010:06:14%20GMT	http://www.ggpa.cteguj.in/contact/news	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/contact/news.html	(from http://www.ggpa.cteguj.in/contact/)
15:36:36	510028/510028	---M--	200	added ('OK')	application/pdf	etag:%227c84c-5c9e2f2d2602f%22	http://www.ggpa.cteguj.in/uploads/2019/ctc_form__charge_transfer_certificate_form_.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/ctc_form__charge_transfer_certificate_form_.pdf	(from http://www.ggpa.cteguj.in/links/)
15:37:02	153233/153233	---M--	200	added ('OK')	image/jpeg	etag:%2225691-5382b8b1b3a42%22	http://www.ggpa.cteguj.in//gmcastudent//img/library_cover.jpg	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/gmcastudent/img/library_cover.jpg	(from http://www.ggpa.cteguj.in/library)
15:37:03	4428/4428	---M--	200	added ('OK')	image/png	etag:%22114c-5307af251ad21%22	http://www.ggpa.cteguj.in/img/favicon.png	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/img/favicon.png	(from http://www.ggpa.cteguj.in/studentsection)
15:37:10	39885/39885	---M--	200	added ('OK')	image/jpeg	etag:%229bcd-53a2759cdf28d%22	http://www.ggpa.cteguj.in//gmcastudent/img/Nikhil.jpg	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/gmcastudent/img/Nikhil.jpg	(from http://www.ggpa.cteguj.in/courtesy/)
15:37:23	74569/74569	---M--	200	added ('OK')	image/jpeg	etag:%2212349-53a275e20eabf%22	http://www.ggpa.cteguj.in//gmcastudent/img/Jay.jpg	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/gmcastudent/img/Jay.jpg	(from http://www.ggpa.cteguj.in/courtesy/)
15:37:35	69130/69130	---M--	200	added ('OK')	image/jpeg	etag:%2210e0a-53c16dc1ef041%22	http://www.ggpa.cteguj.in//gmcastudent/img/SachinShah.jpg	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/gmcastudent/img/SachinShah.jpg	(from http://www.ggpa.cteguj.in/courtesy/)
15:37:38	68019/68019	---MC-	200	added ('OK')	text/html	date:Wed,%2017%20May%202023%2010:07:35%20GMT	http://www.ggpa.cteguj.in/courtesy/news	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/courtesy/news.html	(from http://www.ggpa.cteguj.in/courtesy/)
15:39:24	655985/655985	---M--	200	added ('OK')	application/pdf	etag:%22a0271-5ce11cc08fc7a%22	http://www.ggpa.cteguj.in/uploads/2019/Diploma_special_extension_remidial_exam_form_circular_229208.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Diploma_special_extension_remidial_exam_form_circular_229208.pdf	(from http://www.ggpa.cteguj.in/news)
15:42:24	2910563/2910563	---M--	200	added ('OK')	application/pdf	etag:%222c6963-5e6ce05325b0b%22	http://www.ggpa.cteguj.in/uploads/2019/DIPLOMA_IN_INFORMATION_AND_COMMUNICATION_TECHNOLOGY_(ICT)ENGLISH_BROTURE.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/DIPLOMA_IN_INFORMATION_AND_COMMUNICATION_TECHNOLOGY_(ICT)ENGLISH_BROTURE.pdf	(from http://www.ggpa.cteguj.in/links/)
15:43:47	509150/509150	---M--	200	added ('OK')	application/pdf	etag:%227c4de-5cf5160645b30%22	http://www.ggpa.cteguj.in/uploads/2019/1__16012021Diploma_Sem-3(CtoD)-2020_358630.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/1__16012021Diploma_Sem-3(CtoD)-2020_358630.pdf	(from http://www.ggpa.cteguj.in/news)
